x,y
57.79921138,5.690291772
32.59150896,36.3876163
5.534841694,77.97529948
47.07766568,47.54499666
45.80527581,95.8809403
11.47297064,14.26552241
0.649389193,59.61557989
36.52215805,0.535190881
21.04452069,28.22232182
27.633184,78.6716429
95.21053866,16.97952578
29.95536939,55.57553342
25.25010367,54.475865
8.919329546,35.18215138
34.5428318,96.58970747
49.25628274,1.003234048
19.52340213,10.38646649
72.05558541,94.72325443
75.31142323,14.57077172
9.993302856,44.46970923
28.91312801,41.08390026
61.41573102,13.49428236
26.56701428,0.619364222
37.65161067,44.35913912
51.66367251,25.89380078
89.59819614,80.74954452
77.73710063,9.577526451
62.68600137,95.04854512
12.31999537,19.39478502
63.77032739,73.76199161
4.611585416,46.55931977
74.17430039,82.24741061
40.17946535,21.70100615
69.42118128,23.03975374
9.870567216,9.618517992
43.70519882,25.69814524
90.41141554,80.5732096
9.166921779,75.39701775
10.42505658,32.62014863
5.365174475,53.61182782
32.85358876,88.7857871
53.40671306,75.96539729
38.39960707,90.89117851
51.12343666,51.38550402
88.30295354,0.936582137
20.57529225,59.62944704
21.09362581,99.32182223
18.24139328,40.97138604
27.33312945,1.557099605
62.71673731,83.90421849
81.99414614,36.73262097
12.60696119,95.79406767
11.42200028,25.80223693
60.03007516,34.74129597
6.385546731,14.3237875
98.65840201,62.53129525
2.290837634,19.95452919
19.17142125,87.39376278
29.18165901,18.74672319
87.80431396,6.412869089
90.60855138,46.55597024
36.00859605,30.96190324
77.8293899,68.24716889
99.82447389,14.95870446
62.3157444,73.74094164
42.69532462,75.0385141
7.3777388,44.50251659
21.20878645,14.83348631
79.70636726,96.19423973
74.75389242,38.96754798
92.2325055,78.02044516
12.97327031,78.13382907
27.16084236,57.91292521
93.68595187,43.81448414
26.74019982,85.94658033
29.85083751,47.32844385
1.532521456,68.68629139
49.01270725,98.33712099
8.3399028,6.854315603
10.8057729,43.24872772
70.65459918,72.45900013
50.71876741,56.28395996
17.81144241,80.33235856
31.50325839,25.58187367
76.22396128,2.315780708
87.52615277,59.25867494
61.36384052,80.98393351
79.69055056,27.32576994
12.5389246,10.62253925
55.44798533,22.34093608
96.36534482,8.977195931
32.21304303,53.10693389
74.30912614,42.043917
11.16946702,51.99637497
24.58062077,62.18806096
32.21754593,94.99825873
88.85591493,3.796856767
85.16304216,72.76957151
96.53551222,57.20460374
3.301461328,32.57881406
53.68503947,40.82614372
24.26531205,96.97293051
24.42387628,77.85228402
16.01630101,28.83250982
14.63098358,5.927808619
71.71390766,33.12743657
64.13167328,75.48711697
67.05102354,3.612520694
31.58917609,2.247137116
23.0838233,59.97400247
93.9631013,82.82039885
95.17414182,17.63796343
95.90931387,90.10233602
34.07415756,28.92872774
7.204034747,76.48192731
1.433842419,56.96242302
57.96810695,45.34133811
33.72824447,15.17551485
31.96741312,70.81928675
36.90081509,45.27106035
53.44423105,73.54705715
6.660959801,16.68188949
4.248071676,70.28772239
60.23074418,19.80184263
59.51223621,3.190745579
93.2712385,76.03761834
8.598163652,12.96724725
9.449145231,5.78210707
27.61996352,60.24253204
2.727112919,21.43220094
96.38886664,66.06072494
86.4240352,65.25462968
62.93531582,15.81450243
56.6827765,58.7441939
49.97941824,16.59173862
45.32096389,63.87706341
89.01145893,88.80726321
62.60719389,88.02202076
38.79737053,5.61719612
26.21373417,64.53994777
97.85786039,0.00164595427
99.25506511,3.412709301
55.79693687,42.79970736
55.20656092,65.90944159
73.84827227,88.23590202
98.5186574,10.5231158
64.54778683,95.46257052
11.76631144,9.671029846
56.6585262,14.91441248
27.11778761,84.68155086
4.290992292,51.91741669
20.08538762,82.45875526
23.13328791,74.73065118
88.5181732,85.58613846
62.90574602,42.4109871
4.458027351,61.50661707
65.69854713,66.88560537
44.46261464,60.98945836
37.93795742,28.65892193
0.550947465,85.63733496
47.38610738,37.73248356
19.95437727,9.324529815
33.61241367,58.48097359
76.01176972,90.21045403
76.90928278,97.62658676
96.18346164,10.20618404
40.20502603,92.7394274
23.19504652,7.502555639
93.07938959,62.74355824
9.21127855,19.88049855
20.54915489,55.9419576
88.70952044,28.83682754
40.68041824,63.75640918
44.06798423,5.071710486
91.1530159,99.42505423
61.39402612,1.571956407
